Zone,weekday,hour,rides,avg_trip_miles,avg_fare,avg_driver_pay
Kew Gardens Hills,Wednesday,11,282,4.7429007092198585,22.640744680851064,18.323758865248227
Kew Gardens Hills,Wednesday,12,322,4.819260869565217,21.9472049689441,18.21888198757764
Kew Gardens Hills,Wednesday,13,330,4.374569696969697,21.39921212121212,17.06209090909091
Kew Gardens Hills,Wednesday,14,373,3.837584450402145,20.242064343163538,17.0757908847185
Kew Gardens Hills,Wednesday,15,343,4.447696793002915,24.446530612244896,20.052769679300294
Kew Gardens Hills,Wednesday,16,352,4.106244318181818,21.910710227272727,18.755
Kew Gardens Hills,Wednesday,17,344,4.2605406976744185,22.21328488372093,18.43433139534884
Kew Gardens Hills,Wednesday,18,332,4.153954819277109,20.786024096385542,17.901475903614458
Kew Gardens Hills,Wednesday,19,268,4.651686567164179,20.45686567164179,17.307350746268657
Kew Gardens Hills,Wednesday,20,199,5.3958492462311565,20.84623115577889,18.191909547738693
Kew Gardens Hills,Wednesday,21,172,5.010930232558139,19.425116279069766,16.55744186046512
Kew Gardens Hills,Wednesday,22,138,5.050659420289855,20.410797101449276,16.69333333333333
Kew Gardens Hills,Wednesday,23,101,5.920267326732673,21.46722772277228,18.147722772277227
Kingsbridge Heights,Friday,0,238,3.944861344537815,15.356512605042017,14.054621848739496
Kingsbridge Heights,Friday,1,119,3.872453781512605,15.899327731092438,14.047731092436976
Kingsbridge Heights,Friday,2,107,4.493383177570093,17.65934579439252,14.784205607476636
Kingsbridge Heights,Friday,3,88,5.260511363636364,18.70556818181818,16.441704545454545
Kingsbridge Heights,Friday,4,116,6.19475,24.136293103448274,18.633793103448276
Kingsbridge Heights,Friday,5,202,6.154034653465347,23.298465346534652,19.214554455445544
Kingsbridge Heights,Friday,6,396,5.1654343434343435,23.540353535353535,19.309823232323232
Kingsbridge Heights,Friday,7,638,4.229180250783699,25.990219435736673,20.513918495297805
Kingsbridge Heights,Friday,8,737,3.670179104477612,19.878263229308008,17.22473541383989
Kingsbridge Heights,Friday,9,557,3.596332136445242,18.073536804308798,15.577737881508078
Kingsbridge Heights,Friday,10,448,4.621625,21.599866071428572,18.632008928571427
Kingsbridge Heights,Friday,11,433,4.148249422632794,19.67177829099307,17.389307159353347
Kingsbridge Heights,Friday,12,432,4.43662037037037,21.445046296296297,18.49486111111111
Kingsbridge Heights,Friday,13,447,4.072646532438479,20.088859060402683,17.83791946308725
Kingsbridge Heights,Friday,14,533,4.178562851782364,22.678499061913694,19.64968105065666
Kingsbridge Heights,Friday,15,521,4.12589443378119,23.782879078694815,20.796429942418428
Kingsbridge Heights,Friday,16,525,4.0390057142857145,22.814247619047617,20.957942857142857
