zone,total_trips,avg_fare,avg_fare_per_mile,avg_driver_pay,avg_take_rate_pct,avg_driver_share_pct,avg_tip_pct,avg_speed_mph
East Chelsea,187820,36.38493467149398,10.937328219770858,23.60275524438292,34.52762230179217,65.47237769820784,6.244615508457252,12.236220860717992
East Concourse/Concourse Village,82543,19.4369119125789,7.85708094741788,15.316778164108404,21.93247293539339,78.06752706460661,1.4806430922951173,11.832775116634947
East Elmhurst,41861,21.768085568906617,6.548876646850133,16.46557607319462,24.673875674434793,75.3261243255652,3.3413853156609594,15.655274994506115
East Flatbush/Farragut,72252,19.386762027348723,8.02872331869624,15.041612965731053,23.7226946906652,76.27730530933479,1.9016981027089692,10.597044076449587
East Flatbush/Remsen Village,84967,18.80267798086316,7.913409017275313,14.559072110348723,23.241039990538127,76.75896000946187,1.3876303634441411,10.625208224158754
East Flushing,19018,19.700913871069513,6.978268739051923,15.330368072352508,23.733063932654204,76.2669360673458,3.7503260876351208,13.382942166642652
East Harlem North,107776,20.16189281472684,7.107424339964933,15.775007051662707,21.9626139237354,78.0373860762646,3.173187601035904,13.90045229293809
East Harlem South,102370,24.930335840578294,7.501474691402913,18.750161570772686,24.305936347649087,75.69406365235092,4.294729749797404,13.618544220664585
East New York,192447,17.814567127572786,7.376911209029498,13.901390616637308,24.02669963157079,75.97330036842922,1.259956134063584,12.223592047740857
East New York/Pennsylvania Avenue,46834,19.035697997181536,7.568128079575457,15.019814451039842,22.466781882782364,77.53321811721764,1.2161177255666575,11.567163197763596
East Tremont,71938,18.947695932608635,7.399629511644482,14.89927743334538,21.762088988599615,78.23791101140039,1.2323676012223341,12.75981609480443
East Village,220520,27.03937969345184,9.80226582407431,18.785583711228007,30.508242193934887,69.49175780606511,4.679207923621288,11.655252957885319
East Williamsburg,146651,22.641259111768758,7.931708225147,16.858406693442255,25.14159648291212,74.85840351708788,4.470161053168356,11.887847386834228
Eastchester,48787,17.836187713940188,6.9954756025867235,14.02075552913686,22.835553965829153,77.16444603417085,1.6363729290794629,14.433896182459469
Elmhurst,131372,18.05305476052736,7.523233374275863,14.119952196815152,23.238969217194214,76.76103078280578,3.090780002313186,12.050231072674423
Elmhurst/Maspeth,44731,18.323364333460017,7.2889236407369555,14.126478504840044,24.363337687235422,75.63666231276457,3.1692992896040018,13.129953684030077
Eltingville/Annadale/Prince's Bay,9146,25.523877104745246,5.846857802313319,18.592265471244257,28.300189526881276,71.69981047311872,6.226559305581717,18.9355491503225
Erasmus,51532,20.18497302646899,8.028626633089043,15.823960063649771,23.074095721249268,76.92590427875074,2.25937281401601,10.717030605814681
Far Rockaway,37303,23.194905771653755,7.891177654203294,17.90090770179342,24.86889517091916,75.13110482908084,2.118379836354389,13.768327723905507
Financial District North,102400,37.641549609375005,8.60347472239446,25.16544931640625,31.81351304415135,68.18648695584865,4.577815435350243,14.842891209435901
Financial District South,46276,39.774633503327856,8.468378420166319,26.28793824012447,32.71197241557753,67.28802758442248,5.14651683892305,15.750640891043014
Flatbush/Ditmas Park,134303,21.15055285436662,7.698925013916648,16.551436006641698,22.769407180500306,77.23059281949969,3.8217125656999684,11.337601110974584
Flatiron,117705,30.93361089163587,11.244570867204565,20.315094430992737,34.44234600421939,65.55765399578061,5.202342052302198,11.342207813510555
Flatlands,88661,19.789724117706772,7.566547782614567,15.273449092611182,24.18494508245157,75.81505491754844,2.3107288195352953,11.555242445395114
Flushing,89461,22.97700014531472,6.815648007870285,17.79314908172276,22.894987159951963,77.10501284004803,3.806329840192032,15.175943317763812
Flushing Meadows-Corona Park,5133,24.626376388077148,5.957572919634189,18.445129553867137,24.5040273314108,75.4959726685892,4.477827327211244,17.542052250411942
